Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Collateral_Type,Loan_Status
LP00000,Male,No,2,Graduate,No,6298,6544.34,810.2,360.0,1.0,None,Y
LP00001,Male,Yes,3+,Graduate,No,10704,15518.97,237.9,360.0,0.0,Real Estate,N
LP00002,Male,No,0,Not Graduate,Yes,5568,3779.14,230.4,180.0,1.0,Vehicle,N
LP00003,Female,Yes,2,Not Graduate,Yes,4678,1143.59,308.3,360.0,0.0,Vehicle,N
LP00004,Female,No,2,Not Graduate,No,5683,5277.02,124.1,180.0,0.0,None,Y
LP00005,Female,Yes,3+,Not Graduate,No,10668,6560.89,374.6,360.0,1.0,Real Estate,N
LP00006,Female,No,0,Not Graduate,No,4605,9482.03,296.5,360.0,0.0,None,Y
LP00007,Male,No,0,Not Graduate,No,10651,4787.91,168.3,360.0,1.0,Vehicle,N
LP00008,Female,Yes,2,Graduate,No,6690,3013.08,460.6,360.0,0.0,Vehicle,N
LP00009,Male,Yes,1,Graduate,Yes,11683,7153.91,174.1,360.0,1.0,Real Estate,N
LP00010,Male,Yes,2,Not Graduate,No,3991,3226.78,357.5,360.0,0.0,None,N
LP00011,Female,Yes,2,Graduate,No,9225,3309.75,408.1,360.0,0.0,Vehicle,N
LP00012,Female,Yes,2,Not Graduate,No,7576,4971.46,235.3,360.0,1.0,Real Estate,Y
LP00013,Female,No,2,Not Graduate,Yes,3754,3554.16,221.3,360.0,1.0,Real Estate,N
LP00014,Female,No,3+,Not Graduate,No,13264,984.52,381.6,360.0,0.0,None,Y
LP00015,Male,Yes,0,Graduate,No,7370,9010.69,119.5,360.0,1.0,Real Estate,N
LP00016,Male,Yes,3+,Graduate,No,9987,9829.01,161.1,360.0,0.0,Vehicle,N
LP00017,Male,No,3+,Not Graduate,No,4237,1888.33,147.7,360.0,0.0,None,Y
LP00018,Male,No,3+,Graduate,No,11828,3084.6,135.9,360.0,1.0,Vehicle,N
LP00019,Male,No,2,Not Graduate,No,7946,6821.06,230.5,180.0,1.0,Real Estate,N
LP00020,Male,Yes,1,Not Graduate,No,7452,6663.17,104.4,360.0,0.0,Real Estate,Y
LP00021,Male,Yes,0,Not Graduate,No,5321,6687.17,136.2,360.0,0.0,Vehicle,Y
LP00022,Female,No,1,Not Graduate,No,3629,9508.92,224.1,240.0,0.0,None,Y
LP00023,Male,No,3+,Not Graduate,No,5361,2210.12,284.0,360.0,1.0,Vehicle,Y
LP00024,Female,Yes,3+,Not Graduate,No,6054,5348.03,605.4,120.0,0.0,None,N
LP00025,Male,Yes,1,Not Graduate,Yes,13051,4412.27,177.2,360.0,0.0,Vehicle,N
LP00026,Female,No,1,Not Graduate,Yes,6104,10671.26,199.0,360.0,0.0,None,Y
LP00027,Male,No,1,Graduate,No,7330,503.12,546.9,360.0,1.0,Real Estate,N
LP00028,Female,Yes,3+,Not Graduate,No,3114,3452.97,432.6,360.0,1.0,Vehicle,N
LP00029,Male,Yes,3+,Not Graduate,No,12373,4274.21,236.5,360.0,0.0,Real Estate,Y
LP00030,Male,No,0,Graduate,Yes,3431,4604.87,465.6,360.0,1.0,Real Estate,N
LP00031,Male,No,0,Not Graduate,No,3362,933.8,148.8,360.0,0.0,None,Y
LP00032,Male,No,3+,Not Graduate,No,3186,8692.81,116.7,360.0,0.0,Real Estate,Y
LP00033,Male,Yes,1,Graduate,No,10326,6821.68,198.2,360.0,0.0,Vehicle,Y
LP00034,Female,No,1,Not Graduate,No,12655,4604.95,305.5,360.0,0.0,Real Estate,N
